9 dict_keys(['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22', 'haha18']) 

semeval2018_anger > (1359, 6):(627, 6)
semeval2018_anger, 0, 0.422183935823669, 0.39882126964020354
semeval2018_anger, 1, 0.42195562484576143, 0.403851748010832
semeval2018_anger, 2, 0.4042603552345887, 0.3976366007140942
semeval2018_anger, 3, 0.42578113345923313, 0.39597014230932365
semeval2018_anger, 4, 0.4165610805860712, 0.4119597472568741
semeval2018_anger, 5, 0.4110954656066035, 0.40521408598458464
semeval2018_anger, 6, 0.4149931477967531, 0.40433902119935394
semeval2018_anger, 7, 0.4036146415612435, 0.40397302867629836
semeval2018_anger, 8, 0.42258577081338566, 0.39775128561348366
semeval2018_anger, 9, 0.4052781425597828, 0.3929437898629811
semeval2018_anger, 10, 0.41995965498706356, 0.3918403350656952
semeval2018_anger, 11, 0.4061596454696356, 0.39365140162912304
semeval2018_anger, 12, 0.41764357174671934, 0.39524827269722196
semeval2018_anger, 13, 0.41291509499019646, 0.3948327698388419
semeval2018_anger, 14, 0.42286527466799817, 0.40237261374586897
semeval2018_anger, 15, 0.41466415768554, 0.3902752787122791
semeval2018_anger, 16, 0.41703616016077466, 0.40161324852019725
semeval2018_anger, 17, 0.4175042028771945, 0.4007048034390211
semeval2018_anger, 18, 0.3938224567860798, 0.4040455884847963
semeval2018_anger, 19, 0.40301520756053566, 0.3902217910209075
semeval2018_anger, 20, 0.41167749649249674, 0.3989414261302869
semeval2018_anger, 21, 0.4264438874473204, 0.40159085163761327
semeval2018_anger, 22, 0.4231210843138947, 0.39331172559419453
semeval2018_anger, 23, 0.41455736663208187, 0.3974731413641085
semeval2018_anger, 24, 0.41706480171801574, 0.391300236579887
semeval2018_anger, 25, 0.41028982628337674, 0.39765193820774275
semeval2018_anger, 26, 0.414113978906067, 0.4049415723797322
semeval2018_anger, 27, 0.4166677229464173, 0.3853661846172939
semeval2018_anger, 28, 0.41721690246192533, 0.4008694986498657
semeval2018_anger, 29, 0.4032871514964881, 0.40092216877875914
semeval2018_anger, 30, 0.42577743230988474, 0.39768334347465395
semeval2018_anger, 31, 0.42825767256144376, 0.3967149992202835
semeval2018_anger, 32, 0.41401059319633016, 0.3934622612567307
semeval2018_anger, 33, 0.422292070751482, 0.40193175166958744
semeval2018_anger, 34, 0.4174268957434463, 0.39323886029028593
semeval2018_anger, 35, 0.42480140133369954, 0.4017374637877801
semeval2018_anger, 36, 0.42456229877685814, 0.40165147590054373
semeval2018_anger, 37, 0.4163898501727181, 0.41004750691003444
semeval2018_anger, 38, 0.4154370331843133, 0.4019704970091178
semeval2018_anger, 39, 0.4087784369531925, 0.4020074150375459
semeval2018_anger, 40, 0.424290995144307, 0.4016940521417989
semeval2018_anger, 41, 0.4087463969539398, 0.38829952021989117
semeval2018_anger, 42, 0.42145815448012514, 0.39581404348894217
semeval2018_anger, 43, 0.41103409916937395, 0.39381086211861194
semeval2018_anger, 44, 0.42269863505517546, 0.39997742564935934
semeval2018_anger, 45, 0.42168239108297567, 0.4016121718414457
semeval2018_anger, 46, 0.40072463983292006, 0.3922987600607627
semeval2018_anger, 47, 0.4010951726161109, 0.3976631186605658
semeval2018_anger, 48, 0.4104839176300178, 0.40364777145224673
semeval2018_anger, 49, 0.4089585063960055, 0.4077910401599703
semeval2018_anger, 50, 0.4203495973985943, 0.399886050680863
