exist21 > (2655, 2):(886, 2)
misogyny_centrogeo > (5752, 2):(1439, 2)
exist21, 30, 0.7414397985490127, 0.7391329744806635
misogyny_centrogeo, 33, 0.9056409725457714, 0.8934711443927675
exist21, 31, 0.7469255762472392, 0.7368984974728
misogyny_centrogeo, 34, 0.9035709076861828, 0.8923837821772305
exist21, 32, 0.742474694678871, 0.7353400933342404
misogyny_centrogeo, 35, 0.9063313660822774, 0.8930541878651637
exist21, 33, 0.7448572884811417, 0.7342592167922597
misogyny_centrogeo, 36, 0.9057168347277254, 0.8930686382492524
misogyny_centrogeo, 37, 0.9057168347277254, 0.892924301725488
exist21, 34, 0.7459768518459525, 0.7399245564949676
exist21, 35, 0.7526247145802177, 0.7379817886651039
misogyny_centrogeo, 38, 0.9071346266867069, 0.8932173769336698
exist21, 36, 0.7436744473545025, 0.7364961898544928
misogyny_centrogeo, 39, 0.9049507664036406, 0.8927151118908248
exist21, 37, 0.7458136068456278, 0.7346386723051734
misogyny_centrogeo, 40, 0.9041829247180089, 0.8939663325231486
misogyny_centrogeo, 41, 0.9022684053246401, 0.8933395847127692
exist21, 38, 0.7446659831780182, 0.74261506915056
misogyny_centrogeo, 42, 0.9035709076861828, 0.8943568182108488
exist21, 39, 0.7493539261411424, 0.7376108544498698
exist21, 40, 0.7559639485241236, 0.7425046325840439
misogyny_centrogeo, 43, 0.9071346266867069, 0.8930277237976592
exist21, 41, 0.7445448050622576, 0.7388028672432657
misogyny_centrogeo, 44, 0.9070974641529146, 0.8936249994453644
exist21, 42, 0.7414397985490127, 0.7391329744806635
misogyny_centrogeo, 45, 0.9035709076861828, 0.8941845218541825
misogyny_centrogeo, 46, 0.9049889825731505, 0.8948401080823322
exist21, 43, 0.7458136068456278, 0.7415059674532558
misogyny_centrogeo, 47, 0.9049121443562513, 0.8933830114516258
exist21, 44, 0.7459328222676785, 0.7383483009137072
misogyny_centrogeo, 48, 0.9042607455010954, 0.8925895955039058
exist21, 45, 0.7424063901087972, 0.7315929672294557
misogyny_centrogeo, 49, 0.9035709076861828, 0.893228868494932
exist21, 46, 0.7423275321057385, 0.7376339026409149
misogyny_centrogeo, 50, 0.9000056675233663, 0.8948051010573753
exist21, 47, 0.7504241257783075, 0.7391777947873737
exist21, 48, 0.7470958534036751, 0.7413630847070082
exist21, 49, 0.7457773016814278, 0.738038134177694
exist21, 50, 0.754816330954977, 0.7402415181666477
