,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,train.shape,mean,std,min,max,scores_kfold
0,davincis22,0,"(2521, 2)","(841, 2)",0.761428642703901,0.7698005698005699,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",0,"(2521, 2)",0.7574821458982635,0.014078394057140956,0.7435073713004342,0.7772991994649832,"[0.7519149220472472, 0.7437070938215103, 0.7435073713004342, 0.7772991994649832, 0.7709821428571428]"
1,davincis22,1,"(2521, 2)","(841, 2)",0.7650757636220598,0.7799145299145299,"['meoffendes21', 'mexa3t18_aggress', 'haha18']",1,"(2521, 2)",0.7614789394694457,0.01828936861007875,0.7375991097510084,0.7837528604118993,"[0.7578223270440252, 0.7375991097510084, 0.7470967741935484, 0.7837528604118993, 0.7811236259467471]"
2,davincis22,2,"(2521, 2)","(841, 2)",0.7696679219445395,0.771937321937322,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'misogyny_centrogeo']",2,"(2521, 2)",0.757124644475676,0.012883764074740085,0.7375991097510084,0.7730914654310314,"[0.7539450521815667, 0.7375991097510084, 0.7515227659472955, 0.7694648290674782, 0.7730914654310314]"
3,davincis22,3,"(2521, 2)","(841, 2)",0.761428642703901,0.771937321937322,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'metwo22']",3,"(2521, 2)",0.7567546715117437,0.016406246944134426,0.7397025171624714,0.779397720761444,"[0.749976423990947, 0.7416052302128251, 0.7397025171624714, 0.779397720761444, 0.7730914654310314]"
4,davincis22,4,"(2521, 2)","(841, 2)",0.7626785775365706,0.77008547008547,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",4,"(2521, 2)",0.7571111780973494,0.014429766448446893,0.7397025171624714,0.7771075456888893,"[0.7479455608000032, 0.7397025171624714, 0.7496174711364585, 0.7771075456888893, 0.7711827956989248]"
5,davincis22,5,"(2521, 2)","(841, 2)",0.7696679219445395,0.7740740740740741,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21']",5,"(2521, 2)",0.7567351468474275,0.014641665019728752,0.7356979405034325,0.7751971326164875,"[0.749882075471698, 0.7356979405034325, 0.7515227659472955, 0.7713758196982238, 0.7751971326164875]"
6,davincis22,6,"(2521, 2)","(841, 2)",0.7624700445053064,0.7722222222222221,"['exist21', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",6,"(2521, 2)",0.7596209512311244,0.013807066571483876,0.7437070938215103,0.7774834437086093,"[0.7578223270440252, 0.745805319153161, 0.7437070938215103, 0.7774834437086093, 0.773286572428316]"
7,davincis22,7,"(2521, 2)","(841, 2)",0.7649739360549339,0.7799145299145299,"['meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",7,"(2521, 2)",0.7594688136897016,0.01614599302857554,0.7397025171624714,0.7811236259467471,"[0.7538522012578617, 0.7397025171624714, 0.7470967741935484, 0.7755689498878799, 0.7811236259467471]"
8,davincis22,8,"(2521, 2)","(841, 2)",0.7649739360549339,0.7799145299145299,"['exist21', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",8,"(2521, 2)",0.7595042841824261,0.015064189275828992,0.7416052302128251,0.7811236259467471,"[0.7578223270440252, 0.7416052302128251, 0.7454089851440844, 0.7715612525644493, 0.7811236259467471]"
9,davincis22,9,"(2521, 2)","(841, 2)",0.7649739360549339,0.778062678062678,"['exist21', 'meoffendes21']",9,"(2521, 2)",0.7591508128977358,0.017812238442399604,0.7337961216328379,0.7795766472113106,"[0.75375153364583, 0.7337961216328379, 0.7494182924646502, 0.7795766472113106, 0.7792114695340502]"
