,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,train.shape,mean,std,min,max,scores_kfold
0,detoxis21_toxicity,0,"(2770, 2)","(693, 2)",0.6963472441676736,0.6847324017543605,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",0,"(2770, 2)",0.7053458006759937,0.018412560426285075,0.6917232130346884,0.7403075515920654,"[0.691967323387263, 0.7075518569121848, 0.7403075515920654, 0.6917232130346884, 0.6951790584537678]"
1,detoxis21_toxicity,1,"(2770, 2)","(693, 2)",0.6897777543711818,0.6751446181643329,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'haha18']",1,"(2770, 2)",0.6923660067773807,0.010175966273855638,0.6833510247407529,0.7121546259626599,"[0.6891723167859908, 0.6903029730410684, 0.7121546259626599, 0.6868490933564315, 0.6833510247407529]"
2,detoxis21_toxicity,2,"(2770, 2)","(693, 2)",0.6950276770376026,0.6670722289411182,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'misogyny_centrogeo']",2,"(2770, 2)",0.7029312285894816,0.022847807449287664,0.6747347260942427,0.7436469285269978,"[0.6914157500823749, 0.7059071975201008, 0.7436469285269978, 0.6989515407236926, 0.6747347260942427]"
3,detoxis21_toxicity,3,"(2770, 2)","(693, 2)",0.6963472441676736,0.6779714115024261,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'metwo22']",3,"(2770, 2)",0.7020187572144652,0.01545114380464603,0.6875549683500621,0.7310394004217681,"[0.6908904331404536, 0.7028118110945349, 0.7310394004217681, 0.6977971730655073, 0.6875549683500621]"
4,detoxis21_toxicity,4,"(2770, 2)","(693, 2)",0.6963472441676736,0.6792318116248234,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",4,"(2770, 2)",0.7042033726678334,0.018752313487790644,0.6881801125703565,0.7403058479981557,"[0.691967323387263, 0.7032511489255993, 0.7403058479981557, 0.6973124304577922, 0.6881801125703565]"
5,detoxis21_toxicity,5,"(2770, 2)","(693, 2)",0.6963472441676736,0.6725218202217721,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21']",5,"(2770, 2)",0.7021473548947738,0.017629585542515085,0.6811192425612893,0.7343997321319858,"[0.6984732973878858, 0.7022201448936667, 0.7343997321319858, 0.694524357499041, 0.6811192425612893]"
6,detoxis21_toxicity,6,"(2770, 2)","(693, 2)",0.6947418397626113,0.6819056084162671,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",6,"(2770, 2)",0.6920283544224448,0.00857585458820943,0.682244011689837,0.7078902500509954,"[0.6914157500823749, 0.682244011689837, 0.7078902500509954, 0.6877013271485632, 0.6908904331404536]"
7,detoxis21_toxicity,7,"(2770, 2)","(693, 2)",0.6874302670623145,0.6711084235527255,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",7,"(2770, 2)",0.6866470747104387,0.012873146436398615,0.6749303212556843,0.7098112385154485,"[0.6780351882811879, 0.6914157500823749, 0.7098112385154485, 0.6749303212556843, 0.6790428754174977]"
8,detoxis21_toxicity,8,"(2770, 2)","(693, 2)",0.6897777543711818,0.6804412128983375,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",8,"(2770, 2)",0.6887939801975307,0.0130538190721298,0.6762337662337663,0.7128378901112503,"[0.6780351882811879, 0.6886845466155811, 0.7128378901112503, 0.6762337662337663, 0.6881785097458673]"
9,detoxis21_toxicity,9,"(2770, 2)","(693, 2)",0.6837744807121662,0.672470821372889,"['davincis22', 'exist21', 'meoffendes21']",9,"(2770, 2)",0.6910347647615313,0.007947534819625606,0.6806418945236425,0.7042658868309892,"[0.6941347836812367, 0.6864072327977612, 0.7042658868309892, 0.689724025974026, 0.6806418945236425]"
10,detoxis21_toxicity,10,"(2770, 2)","(693, 2)",0.6934274278491679,0.6913913943085285,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress']",10,"(2770, 2)",0.7048571609450587,0.023107412721433414,0.6836093660765278,0.7470473639352246,"[0.6843304843304844, 0.7075518569121848, 0.7470473639352246, 0.6836093660765278, 0.7017467334708714]"
11,detoxis21_toxicity,11,"(2770, 2)","(693, 2)",0.6947418397626113,0.684528406358828,"['davincis22', 'detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",11,"(2770, 2)",0.7034580596343838,0.019093184781247337,0.6865672224151453,0.7386100785988009,"[0.6865672224151453, 0.7085518884711197, 0.7386100785988009, 0.6905338879176964, 0.6930272207691563]"
12,detoxis21_toxicity,12,"(2770, 2)","(693, 2)",0.6908068783068784,0.6777674161068936,"['exist21', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo']",12,"(2770, 2)",0.6890396452793561,0.0123510061524549,0.6780351882811879,0.7125805193378953,"[0.6780351882811879, 0.6886845466155811, 0.7125805193378953, 0.680385045205695, 0.6855129269564211]"
13,detoxis21_toxicity,13,"(2770, 2)","(693, 2)",0.6884721853451562,0.6671742266388845,"['meoffendes21', 'metwo22', 'haha18']",13,"(2770, 2)",0.6887725555444517,0.0115816367685429,0.6756223597602907,0.710504879735649,"[0.6865672224151453, 0.6859410430839001, 0.710504879735649, 0.6852272727272728, 0.6756223597602907]"
14,detoxis21_toxicity,14,"(2770, 2)","(693, 2)",0.697077101327154,0.6818546095673841,"['davincis22', 'exist21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",14,"(2770, 2)",0.6911941021092851,0.008398738404105436,0.6827232360001882,0.7069066053947598,"[0.6827232360001882, 0.6854577562679385, 0.7069066053947598, 0.6905338879176964, 0.6903490249658426]"
15,detoxis21_toxicity,15,"(2770, 2)","(693, 2)",0.6950276770376026,0.6765580148333795,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'misogyny_centrogeo', 'metwo22']",15,"(2770, 2)",0.7004103862001712,0.02009471331333848,0.6838492808005003,0.7377559483009994,"[0.6838492808005003, 0.7048917713570282, 0.7377559483009994, 0.6900971742743894, 0.6854577562679385]"
16,detoxis21_toxicity,16,"(2770, 2)","(693, 2)",0.6937109797829291,0.684579405207711,"['haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",16,"(2770, 2)",0.6931372706682233,0.012239454018170011,0.6788152471850288,0.714971702966901,"[0.6788152471850288, 0.6849575445976475, 0.714971702966901, 0.6933530138458823, 0.6935888447456571]"
17,detoxis21_toxicity,17,"(2770, 2)","(693, 2)",0.6960590560334805,0.6725218202217721,"['davincis22', 'exist21', 'metwo22']",17,"(2770, 2)",0.686995021849692,0.010347246491043977,0.6762337662337663,0.7062475985552908,"[0.6833510247407529, 0.6880234771573605, 0.7062475985552908, 0.6762337662337663, 0.6811192425612893]"
18,detoxis21_toxicity,18,"(2770, 2)","(693, 2)",0.6913533117007062,0.6712104212504918,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'haha18']",18,"(2770, 2)",0.7043436813605819,0.023438884525719274,0.6799764220453877,0.7487528344671202,"[0.6952136438657619, 0.7032511489255993, 0.7487528344671202, 0.694524357499041, 0.6799764220453877]"
19,detoxis21_toxicity,19,"(2770, 2)","(693, 2)",0.6937109797829291,0.6752466158620991,"['detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",19,"(2770, 2)",0.7053400357558849,0.020627130738990185,0.6843304843304844,0.7427545669728304,"[0.6886845466155811, 0.7075518569121848, 0.7427545669728304, 0.7033787239483442, 0.6843304843304844]"
20,detoxis21_toxicity,20,"(2770, 2)","(693, 2)",0.6895006720764674,0.6697970245814452,"['davincis22', 'haha21', 'misogyny_centrogeo', 'metwo22']",20,"(2770, 2)",0.6902835422855087,0.011989116653111137,0.6779208009645288,0.7098112385154485,"[0.678376978959095, 0.6886845466155811, 0.7098112385154485, 0.6966241463728902, 0.6779208009645288]"
