,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,train.shape,mean,std,min,max,scores_kfold
0,mexa3t18_aggress,0,"(5389, 5)","(2311, 5)",0.7875741502586298,0.7958921621866233,"['detoxis21_aggressiveness', 'haha21', 'metwo22', 'haha18']",0,"(5389, 5)",0.7991019063699558,0.00971949123710626,0.7818979996946098,0.8120274242441663,"[0.8019595835884874, 0.7995636635444161, 0.8120274242441663, 0.7818979996946098, 0.8000608607780993]"
1,mexa3t18_aggress,1,"(5389, 5)","(2311, 5)",0.7937692931622184,0.811295139831659,"['davincis22', 'meoffendes21', 'haha18']",1,"(5389, 5)",0.8130050616782547,0.006291183534965374,0.8071266968325792,0.8244212204478476,"[0.8099767163462097, 0.8085338520742589, 0.8244212204478476, 0.8071266968325792, 0.8149668226903781]"
2,mexa3t18_aggress,2,"(5389, 5)","(2311, 5)",0.7910180046523856,0.8087949135668386,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'misogyny_centrogeo']",2,"(5389, 5)",0.8135963879778185,0.006880193638400918,0.8082925511615588,0.8269404978958111,"[0.8099767163462097, 0.8094346151531564, 0.8269404978958111, 0.8082925511615588, 0.813337559332356]"
3,mexa3t18_aggress,3,"(5389, 5)","(2311, 5)",0.7891115228290384,0.7985168341026337,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'metwo22']",3,"(5389, 5)",0.800890172590709,0.007695918414079649,0.7864749728712843,0.8095520945640746,"[0.804022504592774, 0.8020235241912103, 0.8095520945640746, 0.7864749728712843, 0.8023777667342025]"
4,mexa3t18_aggress,4,"(5389, 5)","(2311, 5)",0.7897179253867151,0.8126074757896642,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21', 'metwo22']",4,"(5389, 5)",0.8131311492125993,0.008068524189031473,0.8032430978501028,0.826470030737461,"[0.8130959949141767, 0.8067344182217704, 0.826470030737461, 0.8032430978501028, 0.8161122043394861]"
5,mexa3t18_aggress,5,"(5389, 5)","(2311, 5)",0.7897179253867151,0.8093888587202462,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21']",5,"(5389, 5)",0.8130353532206641,0.008669221050834742,0.8032430978501028,0.8285236398411596,"[0.8130959949141767, 0.8067344182217704, 0.8285236398411596, 0.8032430978501028, 0.8135796152761108]"
6,mexa3t18_aggress,6,"(5389, 5)","(2311, 5)",0.7894002946096422,0.7991107792560412,"['davincis22', 'exist21', 'haha21', 'metwo22', 'haha18']",6,"(5389, 5)",0.8006023049850096,0.007510548208069744,0.785941019816194,0.807242855489992,"[0.804277944048834, 0.8029184280336241, 0.807242855489992, 0.785941019816194, 0.8026312775364034]"
7,mexa3t18_aggress,7,"(5389, 5)","(2311, 5)",0.7943182477361763,0.811295139831659,"['davincis22', 'meoffendes21', 'misogyny_centrogeo', 'haha18']",7,"(5389, 5)",0.8124092273598844,0.006928501095642583,0.8041475252407277,0.8244212204478476,"[0.8099767163462097, 0.8085338520742589, 0.8244212204478476, 0.8041475252407277, 0.8149668226903781]"
8,mexa3t18_aggress,8,"(5389, 5)","(2311, 5)",0.7904892208397098,0.7977984432980361,"['davincis22', 'exist21', 'haha21', 'misogyny_centrogeo', 'haha18']",8,"(5389, 5)",0.8006766510145674,0.008026520835971626,0.7853978486634872,0.807242855489992,"[0.807242855489992, 0.8020235241912103, 0.807242855489992, 0.7853978486634872, 0.8014761712381558]"
9,mexa3t18_aggress,9,"(5389, 5)","(2311, 5)",0.7893253869352785,0.813325866594262,"['davincis22', 'exist21', 'meoffendes21']",9,"(5389, 5)",0.8138076508245204,0.008722438798275143,0.8032430978501028,0.8285236398411596,"[0.8128414457236335, 0.8074073238249986, 0.8285236398411596, 0.8032430978501028, 0.8170227468827073]"
10,mexa3t18_aggress,10,"(5389, 5)","(2311, 5)",0.787446603322506,0.7986412797538238,"['detoxis21_aggressiveness', 'haha21']",10,"(5389, 5)",0.7994629560322981,0.010151204092372867,0.7807275467143129,0.8108697590452697,"[0.804022504592774, 0.7986702525026147, 0.8108697590452697, 0.7807275467143129, 0.8030247173065194]"
11,mexa3t18_aggress,11,"(5389, 5)","(2311, 5)",0.7919639417843206,0.8105767490270612,"['davincis22', 'detoxis21_aggressiveness', 'meoffendes21', 'misogyny_centrogeo', 'metwo22']",11,"(5389, 5)",0.8134277713597532,0.0074918628569960125,0.8071266968325792,0.8276331222144031,"[0.8102406375735067, 0.8080808080808081, 0.8276331222144031, 0.8071266968325792, 0.8140575920974691]"
12,mexa3t18_aggress,12,"(5389, 5)","(2311, 5)",0.7888552033477512,0.7977984432980361,"['exist21', 'haha21', 'misogyny_centrogeo']",12,"(5389, 5)",0.8013204365217433,0.006758275553940342,0.7888806495160954,0.8093044292280669,"[0.804022504592774, 0.8029184280336241, 0.8093044292280669, 0.7888806495160954, 0.8014761712381558]"
13,mexa3t18_aggress,13,"(5389, 5)","(2311, 5)",0.7930889659344311,0.8085460222644583,"['meoffendes21', 'metwo22', 'haha18']",13,"(5389, 5)",0.8125372233608813,0.008291331640999332,0.805052790346908,0.8285236398411596,"[0.80879911374996, 0.8083075930109263, 0.8285236398411596, 0.805052790346908, 0.8120029798554521]"
14,mexa3t18_aggress,14,"(5389, 5)","(2311, 5)",0.7888224866129356,0.8004231152140465,"['davincis22', 'exist21', 'misogyny_centrogeo', 'metwo22']",14,"(5389, 5)",0.8018064368590242,0.008161466233108646,0.7870989304812834,0.8093044292280669,"[0.8090546563452967, 0.7997896373530892, 0.8093044292280669, 0.7870989304812834, 0.8037845308873846]"
15,mexa3t18_aggress,15,"(5389, 5)","(2311, 5)",0.7877345708566907,0.8011415060186442,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'misogyny_centrogeo', 'metwo22']",15,"(5389, 5)",0.8017554839057158,0.008076862263903068,0.7870989304812834,0.8102112676056339,"[0.8069903823598406, 0.7997896373530892, 0.8102112676056339, 0.7870989304812834, 0.8046872017287326]"
16,mexa3t18_aggress,16,"(5389, 5)","(2311, 5)",0.7848258131302334,0.7956432708842429,"['haha21', 'misogyny_centrogeo', 'metwo22']",16,"(5389, 5)",0.7996635427029198,0.008534266604408538,0.7848453392642787,0.811118930330753,"[0.8031197080138419, 0.8004577121125434, 0.811118930330753, 0.7848453392642787, 0.7987760237931822]"
17,mexa3t18_aggress,17,"(5389, 5)","(2311, 5)",0.7882787367992447,0.8004231152140465,"['davincis22', 'exist21', 'metwo22']",17,"(5389, 5)",0.8018415079126514,0.00874414814847759,0.7850518048128342,0.8093044292280669,"[0.8081483466013472, 0.8029184280336241, 0.8093044292280669, 0.7850518048128342, 0.8037845308873846]"
18,mexa3t18_aggress,18,"(5389, 5)","(2311, 5)",0.7930889659344311,0.8114195854828492,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'haha18']",18,"(5389, 5)",0.8144277541865492,0.007860572734654726,0.8076418309080862,0.8292220186287982,"[0.8099767163462097, 0.8096586960196855, 0.8292220186287982, 0.8076418309080862, 0.8156395090299661]"
19,mexa3t18_aggress,19,"(5389, 5)","(2311, 5)",0.7943182477361763,0.8114195854828492,"['detoxis21_aggressiveness', 'meoffendes21', 'misogyny_centrogeo', 'haha18']",19,"(5389, 5)",0.8136940653186476,0.007256330541518442,0.8064789881680947,0.8269404978958111,"[0.8099767163462097, 0.8094346151531564, 0.8269404978958111, 0.8064789881680947, 0.8156395090299661]"
20,mexa3t18_aggress,20,"(5389, 5)","(2311, 5)",0.785496801910732,0.7983923884514436,"['davincis22', 'haha21', 'misogyny_centrogeo', 'metwo22']",20,"(5389, 5)",0.7989072540034811,0.008060232919796292,0.7836756223697638,0.8076418309080862,"[0.8016992607410984, 0.7997896373530892, 0.8076418309080862, 0.7836756223697638, 0.8017299186453677]"
21,mexa3t18_aggress,21,"(5389, 5)","(2311, 5)",0.7875741502586298,0.7970800524934383,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'metwo22', 'haha18']",21,"(5389, 5)",0.7980808160813888,0.008750535615500812,0.781615390201857,0.8078961588429392,"[0.7996336280404849, 0.8006835499775886, 0.8078961588429392, 0.781615390201857, 0.8005753533440743]"
22,mexa3t18_aggress,22,"(5389, 5)","(2311, 5)",0.7900722903787922,0.7991107792560412,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'misogyny_centrogeo', 'haha18']",22,"(5389, 5)",0.8017748101282063,0.008100031332884719,0.7865606628285966,0.810458640552555,"[0.8060854255970606, 0.8031380441264162, 0.810458640552555, 0.7865606628285966, 0.8026312775364034]"
23,mexa3t18_aggress,23,"(5389, 5)","(2311, 5)",0.7898171386400167,0.7958921621866233,"['detoxis21_aggressiveness', 'exist21', 'misogyny_centrogeo', 'metwo22', 'haha18']",23,"(5389, 5)",0.8014252285601321,0.005583404027295037,0.7917121294780869,0.8081483466013472,"[0.8051812817519169, 0.8020235241912103, 0.8081483466013472, 0.7917121294780869, 0.8000608607780993]"
24,mexa3t18_aggress,24,"(5389, 5)","(2311, 5)",0.7942857214499208,0.8152321477056748,"['davincis22', 'exist21', 'meoffendes21', 'misogyny_centrogeo', 'metwo22', 'haha18']",24,"(5389, 5)",0.8128148459022515,0.00793926722804864,0.8000024993198966,0.8232766672893704,"[0.8095919247842064, 0.8128055883299872, 0.8232766672893704, 0.8000024993198966, 0.8183975497877976]"
25,mexa3t18_aggress,25,"(5389, 5)","(2311, 5)",0.7877345708566907,0.7951737713820255,"['misogyny_centrogeo', 'haha18']",25,"(5389, 5)",0.7993864821018761,0.008203926063580476,0.7853978486634872,0.811118930330753,"[0.8007975604034716, 0.8004577121125434, 0.811118930330753, 0.7853978486634872, 0.799160358999125]"
26,mexa3t18_aggress,26,"(5389, 5)","(2311, 5)",0.7884062123368515,0.8017354511720518,"['davincis22', 'detoxis21_aggressiveness', 'exist21']",26,"(5389, 5)",0.802143751953572,0.008227196419115646,0.7871790103145879,0.8116109908390575,"[0.8060854255970606, 0.8009073915849877, 0.8116109908390575, 0.7871790103145879, 0.8049359414321666]"
27,mexa3t18_aggress,27,"(5389, 5)","(2311, 5)",0.7853690896727864,0.7950493257308353,"['davincis22', 'detoxis21_aggressiveness', 'misogyny_centrogeo']",27,"(5389, 5)",0.797855939745852,0.00774008445631516,0.783066527422116,0.8055734634984958,"[0.8014367286793147, 0.8006835499775886, 0.8055734634984958, 0.783066527422116, 0.7985194291517451]"
28,mexa3t18_aggress,28,"(5389, 5)","(2311, 5)",0.7879901004401834,0.8017354511720518,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21']",28,"(5389, 5)",0.8018834224893135,0.007349666934371999,0.787721593044107,0.8074931982890916,"[0.807242855489992, 0.8020235241912103, 0.8074931982890916, 0.787721593044107, 0.8049359414321666]"
