,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,train.shape,mean,std,min,max,scores_kfold
0,detoxis21_insult,0,"(2770, 2)","(693, 2)",0.660184248140304,0.5986806074184715,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",0,"(2770, 2)",0.6481455111493934,0.023714315983241547,0.6178112260896833,0.6885234380490547,"[0.6885234380490547, 0.6371079996724802, 0.6569784382284383, 0.6178112260896833, 0.6403064537073108]"
1,detoxis21_insult,1,"(2770, 2)","(693, 2)",0.6716587013843112,0.6105302464525766,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'haha18']",1,"(2770, 2)",0.650728949013851,0.023421399439743328,0.6178112260896833,0.6885234380490547,"[0.6885234380490547, 0.6371079996724802, 0.6569784382284383, 0.6178112260896833, 0.6532236430295986]"
2,detoxis21_insult,2,"(2770, 2)","(693, 2)",0.6716587013843112,0.5977097336320637,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'misogyny_centrogeo']",2,"(2770, 2)",0.646605769524357,0.022566431393154087,0.6178112260896833,0.6843304843304843,"[0.6843304843304843, 0.6371079996724802, 0.6569784382284383, 0.6178112260896833, 0.6368006993006994]"
3,detoxis21_insult,3,"(2770, 2)","(693, 2)",0.6630517503805174,0.5858600945979586,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'metwo22']",3,"(2770, 2)",0.6344713438195294,0.028101558478027807,0.5976589200273411,0.6730394348564785,"[0.6730394348564785, 0.6178112260896832, 0.6608603706383216, 0.5976589200273411, 0.6229867674858223]"
4,detoxis21_insult,4,"(2770, 2)","(693, 2)",0.6573829927488465,0.5986806074184715,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",4,"(2770, 2)",0.6442520541250066,0.017566598040619216,0.6178112260896833,0.6690561529271206,"[0.6690561529271206, 0.6371079996724802, 0.6569784382284383, 0.6178112260896833, 0.6403064537073108]"
5,detoxis21_insult,5,"(2770, 2)","(693, 2)",0.6716587013843112,0.6105302464525766,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21']",5,"(2770, 2)",0.6468354919894642,0.017745296404527846,0.6178112260896833,0.6690561529271206,"[0.6690561529271206, 0.6371079996724802, 0.6569784382284383, 0.6178112260896833, 0.6532236430295986]"
6,detoxis21_insult,6,"(2770, 2)","(693, 2)",0.660184248140304,0.5986806074184715,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",6,"(2770, 2)",0.6442520541250066,0.017566598040619216,0.6178112260896833,0.6690561529271206,"[0.6690561529271206, 0.6371079996724802, 0.6569784382284383, 0.6178112260896833, 0.6403064537073108]"
7,detoxis21_insult,7,"(2770, 2)","(693, 2)",0.6716587013843112,0.6105302464525766,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",7,"(2770, 2)",0.650728949013851,0.023421399439743328,0.6178112260896833,0.6885234380490547,"[0.6885234380490547, 0.6371079996724802, 0.6569784382284383, 0.6178112260896833, 0.6532236430295986]"
8,detoxis21_insult,8,"(2770, 2)","(693, 2)",0.6687414187643019,0.5977097336320637,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",8,"(2770, 2)",0.6435509032436844,0.017778772155990663,0.6178112260896833,0.6690561529271206,"[0.6690561529271206, 0.6371079996724802, 0.6569784382284383, 0.6178112260896833, 0.6368006993006994]"
9,detoxis21_insult,9,"(2770, 2)","(693, 2)",0.660184248140304,0.6115011202389843,"['davincis22', 'exist21', 'meoffendes21']",9,"(2770, 2)",0.6420879398549129,0.01987247193290042,0.6178112260896832,0.6608603706383216,"[0.6569784382284383, 0.6178112260896832, 0.6608603706383216, 0.6178112260896833, 0.6569784382284383]"
10,detoxis21_insult,10,"(2770, 2)","(693, 2)",0.6716587013843112,0.5986806074184715,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress']",10,"(2770, 2)",0.6473069204056794,0.022303824981333528,0.6178112260896833,0.6843304843304843,"[0.6843304843304843, 0.6371079996724802, 0.6569784382284383, 0.6178112260896833, 0.6403064537073108]"
11,detoxis21_insult,11,"(2770, 2)","(693, 2)",0.660184248140304,0.6105302464525766,"['davincis22', 'detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",11,"(2770, 2)",0.639742332446308,0.02771105603667878,0.5976589200273411,0.6730394348564785,"[0.6730394348564785, 0.6178112260896832, 0.6569784382284383, 0.5976589200273411, 0.6532236430295986]"
12,detoxis21_insult,12,"(2770, 2)","(693, 2)",0.6687414187643019,0.5977097336320637,"['exist21', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo']",12,"(2770, 2)",0.6435509032436844,0.017778772155990663,0.6178112260896833,0.6690561529271206,"[0.6690561529271206, 0.6371079996724802, 0.6569784382284383, 0.6178112260896833, 0.6368006993006994]"
13,detoxis21_insult,13,"(2770, 2)","(693, 2)",0.674644492900291,0.6115011202389843,"['meoffendes21', 'metwo22', 'haha18']",13,"(2770, 2)",0.6474494468411505,0.029848679024050865,0.5976589200273411,0.6885234380490547,"[0.6885234380490547, 0.6371079996724802, 0.6569784382284383, 0.5976589200273411, 0.6569784382284383]"
14,detoxis21_insult,14,"(2770, 2)","(693, 2)",0.6511433620735821,0.5858600945979586,"['davincis22', 'exist21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",14,"(2770, 2)",0.634342112728504,0.0223922177874187,0.5976589200273411,0.6569784382284383,"[0.6569784382284383, 0.6371079996724802, 0.6569784382284383, 0.5976589200273411, 0.6229867674858223]"
15,detoxis21_insult,15,"(2770, 2)","(693, 2)",0.6511433620735821,0.5848892208115509,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'misogyny_centrogeo', 'metwo22']",15,"(2770, 2)",0.6338244976776248,0.028394167295501642,0.5976589200273411,0.6730394348564785,"[0.6730394348564785, 0.6178112260896832, 0.6608603706383216, 0.5976589200273411, 0.6197525367762999]"
16,detoxis21_insult,16,"(2770, 2)","(693, 2)",0.660184248140304,0.5986806074184715,"['haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",16,"(2770, 2)",0.6481455111493934,0.023714315983241547,0.6178112260896833,0.6885234380490547,"[0.6885234380490547, 0.6371079996724802, 0.6569784382284383, 0.6178112260896833, 0.6403064537073108]"
17,detoxis21_insult,17,"(2770, 2)","(693, 2)",0.6511433620735821,0.5848892208115509,"['davincis22', 'exist21', 'metwo22']",17,"(2770, 2)",0.6369212983161401,0.032976826987649754,0.5976589200273411,0.6885234380490547,"[0.6885234380490547, 0.6178112260896832, 0.6608603706383216, 0.5976589200273411, 0.6197525367762999]"
18,detoxis21_insult,18,"(2770, 2)","(693, 2)",0.6716587013843112,0.5977097336320637,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'haha18']",18,"(2770, 2)",0.6396915485271248,0.020625084612172488,0.6178112260896832,0.6690561529271206,"[0.6690561529271206, 0.6178112260896832, 0.6569784382284383, 0.6178112260896833, 0.6368006993006994]"
19,detoxis21_insult,19,"(2770, 2)","(693, 2)",0.6716587013843112,0.6105302464525766,"['detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",19,"(2770, 2)",0.6436016871628674,0.02565543342972902,0.5976589200273411,0.6730394348564785,"[0.6730394348564785, 0.6371079996724802, 0.6569784382284383, 0.5976589200273411, 0.6532236430295986]"
