detoxis21_toxicity > (2770, 2):(693, 2)
detoxis21_toxicity, 0, 0.6963472441676736, 0.7053458006759937
detoxis21_toxicity, 1, 0.6897777543711818, 0.6923660067773807
detoxis21_toxicity, 2, 0.6950276770376026, 0.7029312285894816
detoxis21_toxicity, 3, 0.6963472441676736, 0.7020187572144652
detoxis21_toxicity, 4, 0.6963472441676736, 0.7042033726678334
detoxis21_toxicity, 5, 0.6963472441676736, 0.7021473548947738
detoxis21_toxicity, 6, 0.6947418397626113, 0.6920283544224448
detoxis21_toxicity, 7, 0.6874302670623145, 0.6866470747104387
detoxis21_toxicity, 8, 0.6897777543711818, 0.6887939801975307
detoxis21_toxicity, 9, 0.6837744807121662, 0.6910347647615313
detoxis21_toxicity, 10, 0.6934274278491679, 0.7048571609450587
detoxis21_toxicity, 11, 0.6947418397626113, 0.7034580596343838
detoxis21_toxicity, 12, 0.6908068783068784, 0.6890396452793561
detoxis21_toxicity, 13, 0.6884721853451562, 0.6887725555444517
detoxis21_toxicity, 14, 0.697077101327154, 0.6911941021092851
detoxis21_toxicity, 15, 0.6950276770376026, 0.7004103862001712
detoxis21_toxicity, 16, 0.6937109797829291, 0.6931372706682233
detoxis21_toxicity, 17, 0.6960590560334805, 0.686995021849692
detoxis21_toxicity, 18, 0.6913533117007062, 0.7043436813605819
detoxis21_toxicity, 19, 0.6937109797829291, 0.7053400357558849
detoxis21_toxicity, 20, 0.6895006720764674, 0.6902835422855087
detoxis21_toxicity, 21, 0.6973791117615766, 0.7052903248522153
detoxis21_toxicity, 22, 0.6874302670623145, 0.7048405395112642
detoxis21_toxicity, 23, 0.6937109797829291, 0.7015736474473282
detoxis21_toxicity, 24, 0.6861280808931958, 0.6915235191434214
detoxis21_toxicity, 25, 0.6931322431632924, 0.68967212170408
detoxis21_toxicity, 26, 0.6980820105820106, 0.7022175211315117
detoxis21_toxicity, 27, 0.6944444444444444, 0.7043935100808543
detoxis21_toxicity, 28, 0.6937109797829291, 0.700082943059207
detoxis21_toxicity, 29, 0.6902958076186423, 0.7060025635421987
detoxis21_toxicity, 30, 0.7003953853369422, 0.6931199383380757
detoxis21_toxicity, 31, 0.6976697169610556, 0.7078511650632967
detoxis21_toxicity, 32, 0.6874302670623145, 0.7045476655180244
detoxis21_toxicity, 33, 0.6950276770376026, 0.6966872784140025
detoxis21_toxicity, 34, 0.6957593856879596, 0.6894358250502712
detoxis21_toxicity, 35, 0.6997209951174146, 0.6998537377085471
detoxis21_toxicity, 36, 0.6997209951174146, 0.6890036548262269
detoxis21_toxicity, 37, 0.6931322431632924, 0.6904930867029551
detoxis21_toxicity, 38, 0.6910860534124629, 0.693750032181257
detoxis21_toxicity, 39, 0.7033829342013485, 0.7028466521129564
detoxis21_toxicity, 40, 0.6973791117615766, 0.688944076355573
detoxis21_toxicity, 41, 0.6910860534124629, 0.6901074037217204
detoxis21_toxicity, 42, 0.6957593856879596, 0.6907332770532909
detoxis21_toxicity, 43, 0.6987020423744988, 0.7067167487092337
detoxis21_toxicity, 44, 0.6910860534124629, 0.6954407272284419
detoxis21_toxicity, 45, 0.6967638142501174, 0.689162558514114
detoxis21_toxicity, 46, 0.6966238148116511, 0.7020818381400209
detoxis21_toxicity, 47, 0.6960590560334805, 0.7029199026470038
detoxis21_toxicity, 48, 0.7010472437402242, 0.7025707366076013
detoxis21_toxicity, 49, 0.6939827622898489, 0.7054517588659535
detoxis21_toxicity, 50, 0.6871693121693121, 0.6943525940609099
