misoginia > (2645, 5):(662, 5)
semeval2018_sadness > (1350, 6):(641, 6)
misoginia, 38, 0.7854906578310832, 0.7820248882903869
misoginia, 39, 0.7930508872931228, 0.779731623304981
misoginia, 40, 0.7930471094275903, 0.7801331956987692
misoginia, 41, 0.7869969125026527, 0.7843434294835184
misoginia, 42, 0.7945544328523051, 0.7816687805949165
misoginia, 43, 0.7885119161714906, 0.7820527381063309
misoginia, 44, 0.797583081570997, 0.7797184367561029
misoginia, 45, 0.7945544328523051, 0.7805443652657216
misoginia, 46, 0.7854906578310832, 0.784313953198636
misoginia, 47, 0.7945319275183715, 0.7828208492755915
misoginia, 48, 0.790018232892686, 0.7827822908197625
misoginia, 49, 0.7930471094275904, 0.7801292807803311
misoginia, 50, 0.7885119161714906, 0.7797426661678649
