metwo22 > (2880, 2):(720, 2)
metwo22, 0, 0.7667740579913153, 0.7554968267139177
metwo22, 1, 0.767588422460304, 0.7565037562922218
metwo22, 2, 0.7686006064832933, 0.7569759972649137
metwo22, 3, 0.767588422460304, 0.7547540743937413
metwo22, 4, 0.767588422460304, 0.7546871633192245
metwo22, 5, 0.767588422460304, 0.7550686521973953
metwo22, 6, 0.7625830959164293, 0.7555781932065782
metwo22, 7, 0.7699257599103515, 0.7565248298727234
metwo22, 8, 0.7625830959164293, 0.7548907790044679
metwo22, 9, 0.7612642979014008, 0.7577995487336324
metwo22, 10, 0.7667740579913153, 0.7553006359524002
metwo22, 11, 0.7662645316955473, 0.7576783682396073
metwo22, 12, 0.7644263601808523, 0.7564349928833909
metwo22, 13, 0.7689142133586578, 0.7568592189234844
metwo22, 14, 0.7599473568765079, 0.757804945506557
metwo22, 15, 0.7631059442860276, 0.7569789509011567
metwo22, 16, 0.7699257599103515, 0.7575291279166743
metwo22, 17, 0.7625830959164293, 0.7574586133780212
metwo22, 18, 0.7720797720797721, 0.7546116066935192
metwo22, 19, 0.7662645316955473, 0.7544617313646909
metwo22, 20, 0.7680976513971327, 0.7570298963529903
metwo22, 21, 0.7680976513971327, 0.7553127590020041
metwo22, 22, 0.7604706541532427, 0.7564045553839074
metwo22, 23, 0.7631059442860276, 0.7557547219613887
metwo22, 24, 0.7612642979014008, 0.7576292288346168
metwo22, 25, 0.7694231191050669, 0.7576721989150506
metwo22, 26, 0.7604706541532427, 0.7552064580331814
metwo22, 27, 0.7649425174025359, 0.7568529673263018
metwo22, 28, 0.767588422460304, 0.754396328525188
metwo22, 29, 0.7720797720797721, 0.7549685697090764
metwo22, 30, 0.7689142133586578, 0.7573616579547692
metwo22, 31, 0.767588422460304, 0.7546871586008559
metwo22, 32, 0.7604706541532427, 0.7565860301297674
metwo22, 33, 0.7625830959164293, 0.755556853318416
metwo22, 34, 0.767588422460304, 0.7565037562922218
metwo22, 35, 0.7694231191050669, 0.7556730308487296
metwo22, 36, 0.7599473568765079, 0.7552399903369524
metwo22, 37, 0.7644263601808523, 0.7567543537854631
metwo22, 38, 0.7625830959164293, 0.7559312110252504
metwo22, 39, 0.7720797720797721, 0.7554715024328684
metwo22, 40, 0.7625830959164293, 0.7566078044249768
metwo22, 41, 0.7612642979014008, 0.7584576867947372
metwo22, 42, 0.7599473568765079, 0.7564519420409093
metwo22, 43, 0.7686006064832933, 0.7586657445544692
metwo22, 44, 0.7644263601808523, 0.7564453147841775
metwo22, 45, 0.7599473568765079, 0.7564519420409093
metwo22, 46, 0.7631059442860276, 0.7554035439733934
metwo22, 47, 0.7644263601808523, 0.756001015663486
metwo22, 48, 0.7702419282072048, 0.7579982562295339
metwo22, 49, 0.767588422460304, 0.7542223526311573
metwo22, 50, 0.7644263601808523, 0.7568611437307157
