,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,train.shape,mean,std,min,max,scores_kfold
0,metwo22,0,"(2880, 2)","(720, 2)",0.7667740579913153,0.7368686868686869,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress', 'haha18']",0,"(2880, 2)",0.7554968267139177,0.022236447101641823,0.7296946068875894,0.7854764908867033,"[0.7784342357347993, 0.7296946068875894, 0.7854764908867033, 0.7392907477801369, 0.74458805228036]"
1,metwo22,1,"(2880, 2)","(720, 2)",0.767588422460304,0.7396464646464647,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'haha18']",1,"(2880, 2)",0.7565037562922218,0.020423688797671733,0.7313189972193194,0.7828542270388832,"[0.7784342357347993, 0.7313189972193194, 0.7828542270388832, 0.7427931423217136, 0.7471181791463932]"
2,metwo22,2,"(2880, 2)","(720, 2)",0.7686006064832933,0.7464646464646465,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'misogyny_centrogeo']",2,"(2880, 2)",0.7569759972649137,0.022869283372692097,0.726218855108905,0.7854764908867033,"[0.7800834028356964, 0.726218855108905, 0.7854764908867033, 0.7392907477801369, 0.7538104897131266]"
3,metwo22,3,"(2880, 2)","(720, 2)",0.767588422460304,0.7297979797979799,"['detoxis21_aggressiveness', 'exist21', 'haha21']",3,"(2880, 2)",0.7547540743937413,0.022568449942631744,0.7352941176470589,0.7880867042157365,"[0.7758131776480399, 0.7352941176470589, 0.7880867042157365, 0.735999735999736, 0.7385766364581351]"
4,metwo22,4,"(2880, 2)","(720, 2)",0.767588422460304,0.7338383838383838,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress']",4,"(2880, 2)",0.7546871633192245,0.020002031890928428,0.7327243829810555,0.7837173579109064,"[0.7732586639730239, 0.7327243829810555, 0.7837173579109064, 0.7409422694094226, 0.7427931423217136]"
5,metwo22,5,"(2880, 2)","(720, 2)",0.767588422460304,0.7325757575757577,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21']",5,"(2880, 2)",0.7550686521973953,0.02219826206226127,0.7327243829810555,0.7854764908867033,"[0.7783566185176416, 0.7327243829810555, 0.7854764908867033, 0.7376432559506318, 0.7411425126509437]"
6,metwo22,6,"(2880, 2)","(720, 2)",0.7625830959164293,0.740909090909091,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'haha18']",6,"(2880, 2)",0.7555781932065782,0.020480276979622954,0.7327243829810555,0.7854764908867033,"[0.7732717028239819, 0.7327243829810555, 0.7854764908867033, 0.7376432559506318, 0.7487751333905179]"
7,metwo22,7,"(2880, 2)","(720, 2)",0.7699257599103515,0.7396464646464647,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",7,"(2880, 2)",0.7565248298727234,0.02376362070032476,0.7287742683280208,0.7889193222388031,"[0.780169123699768, 0.7287742683280208, 0.7889193222388031, 0.7376432559506318, 0.7471181791463932]"
8,metwo22,8,"(2880, 2)","(720, 2)",0.7625830959164293,0.7396464646464647,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",8,"(2880, 2)",0.7548907790044679,0.018969333972222186,0.735999735999736,0.7828542270388832,"[0.7715483050213275, 0.7369334478159995, 0.7828542270388832, 0.735999735999736, 0.7471181791463932]"
9,metwo22,9,"(2880, 2)","(720, 2)",0.7612642979014008,0.744949494949495,"['davincis22', 'exist21', 'meoffendes21']",9,"(2880, 2)",0.7577995487336324,0.02112776712129253,0.7352941176470589,0.7854764908867033,"[0.7792651846339876, 0.7352941176470589, 0.7854764908867033, 0.735999735999736, 0.752962214500676]"
