,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,train.shape,mean,std,min,max,scores_kfold
0,semeval2018_anger,0,"(1359, 6)","(627, 6)",0.422183935823669,0.44180282424368106,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",0,"(1359, 6)",0.39882126964020354,0.016493293580435144,0.37554716766539425,0.4192215846552906,"[0.4192215846552906, 0.387506833588454, 0.415232507605389, 0.37554716766539425, 0.39659825468648996]"
1,semeval2018_anger,1,"(1359, 6)","(627, 6)",0.42195562484576143,0.4563041462178291,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'haha18']",1,"(1359, 6)",0.403851748010832,0.025062908941636125,0.3705507483228993,0.43826448456619327,"[0.43826448456619327, 0.37993119601815256, 0.41249570503994726, 0.3705507483228993, 0.41801660610696756]"
2,semeval2018_anger,2,"(1359, 6)","(627, 6)",0.4042603552345887,0.43380732874818556,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'misogyny_centrogeo']",2,"(1359, 6)",0.3976366007140942,0.029338105366424876,0.3730233309166373,0.45527842205608604,"[0.45527842205608604, 0.3730233309166373, 0.38808038932948813, 0.38384702341760546, 0.3879538378506539]"
3,semeval2018_anger,3,"(1359, 6)","(627, 6)",0.42578113345923313,0.43867782424368107,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'metwo22']",3,"(1359, 6)",0.39597014230932365,0.006850309849614193,0.385504441044295,0.40404612283160757,"[0.40404612283160757, 0.391712962962963, 0.402429445063198, 0.385504441044295, 0.39615773964455475]"
4,semeval2018_anger,4,"(1359, 6)","(627, 6)",0.4165610805860712,0.4505352699246562,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",4,"(1359, 6)",0.4119597472568741,0.022306457461458706,0.3896604813557699,0.4481535218715785,"[0.42717359667359667, 0.39383246231482494, 0.4481535218715785, 0.3896604813557699, 0.40097867406860077]"
5,semeval2018_anger,5,"(1359, 6)","(627, 6)",0.4110954656066035,0.4431823287481856,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21']",5,"(1359, 6)",0.40521408598458464,0.02211665285877359,0.37645960808924395,0.4423907757807214,"[0.4423907757807214, 0.396070653221683, 0.41431949380294175, 0.37645960808924395, 0.3968298990283334]"
6,semeval2018_anger,6,"(1359, 6)","(627, 6)",0.4149931477967531,0.444446700536854,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",6,"(1359, 6)",0.40433902119935394,0.025208090287951436,0.38084276563789893,0.4500525688102187,"[0.40155906362446553, 0.38084276563789893, 0.4500525688102187, 0.3816049117991823, 0.4076357961250048]"
7,semeval2018_anger,7,"(1359, 6)","(627, 6)",0.4036146415612435,0.4645298351420475,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",7,"(1359, 6)",0.40397302867629836,0.027556927522953984,0.36268306566867725,0.4388136886727978,"[0.4388136886727978, 0.36268306566867725, 0.4089043802100335, 0.38408353810304513, 0.4253804707269381]"
8,semeval2018_anger,8,"(1359, 6)","(627, 6)",0.42258577081338566,0.45317914621782907,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",8,"(1359, 6)",0.39775128561348366,0.023822466359148253,0.3657883936481723,0.42410090672471845,"[0.4123447964802097, 0.3657883936481723, 0.42410090672471845, 0.3724245679132897, 0.414097763301028]"
9,semeval2018_anger,9,"(1359, 6)","(627, 6)",0.4052781425597828,0.4392996417133246,"['davincis22', 'exist21', 'meoffendes21']",9,"(1359, 6)",0.3929437898629811,0.018598585398783903,0.3653087149834636,0.41800933114040073,"[0.41800933114040073, 0.3798042269197554, 0.4053547731224822, 0.3653087149834636, 0.39624190314880336]"
10,semeval2018_anger,10,"(1359, 6)","(627, 6)",0.41995965498706356,0.44479202668141293,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress']",10,"(1359, 6)",0.3918403350656952,0.017600747085254394,0.36485849056603775,0.41523505766921487,"[0.41523505766921487, 0.384652133580705, 0.4062799157219639, 0.36485849056603775, 0.38817607779055463]"
11,semeval2018_anger,11,"(1359, 6)","(627, 6)",0.4061596454696356,0.4344035131678994,"['davincis22', 'detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",11,"(1359, 6)",0.39365140162912304,0.021256696935122495,0.37015694377574493,0.41942313510475926,"[0.41942313510475926, 0.37503632269078496, 0.4185994712390734, 0.37015694377574493, 0.3850411353352529]"
12,semeval2018_anger,12,"(1359, 6)","(627, 6)",0.41764357174671934,0.46058961775074303,"['exist21', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo']",12,"(1359, 6)",0.39524827269722196,0.018845581701510874,0.37248607680116164,0.42162919076503497,"[0.4017972878808209, 0.3748815982089039, 0.40544720983018845, 0.37248607680116164, 0.42162919076503497]"
13,semeval2018_anger,13,"(1359, 6)","(627, 6)",0.41291509499019646,0.4491813984700813,"['meoffendes21', 'metwo22', 'haha18']",13,"(1359, 6)",0.3948327698388419,0.024354178799134426,0.3624459719776451,0.4176975772765247,"[0.4176975772765247, 0.3682795508775901, 0.41723742312009926, 0.3624459719776451, 0.40850332594235034]"
