,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,train.shape,mean,std,min,max,scores_kfold
0,meoffendes21,8,"(90, 2)","(17, 2)",0.9328063241106719,0.7846153846153847,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",8,"(90, 2)",0.7079874158099965,0.15422305394325514,0.43750000000000006,0.8615384615384616,"[0.8392857142857143, 0.6516129032258065, 0.43750000000000006, 0.8615384615384616, 0.75]"
1,metwo22,8,"(90, 2)","(17, 2)",0.575,0.375,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",8,"(90, 2)",0.4420512820512821,0.08239670879341514,0.33333333333333326,0.5846153846153846,"[0.5846153846153846, 0.4000000000000001, 0.44615384615384623, 0.44615384615384623, 0.33333333333333326]"
2,mexa3t18_aggress,8,"(90, 2)","(17, 2)",0.5502645502645502,0.7916666666666667,"['davincis22', 'exist21', 'haha21', 'misogyny_centrogeo', 'haha18']",8,"(90, 2)",0.6599207693997914,0.13211962326179838,0.4814814814814815,0.8615384615384616,"[0.8615384615384616, 0.4814814814814815, 0.5566502463054187, 0.6785714285714286, 0.7213622291021671]"
